cod;UF;populacao
1100015;RO;22516
1100023;RO;111148
1100031;RO;5067
1100049;RO;86416
1100056;RO;16088
1100064;RO;15213
1100072;RO;7052
1100080;RO;19255
1100098;RO;33009
1100106;RO;46930
1100114;RO;51469
1100122;RO;131026
1100130;RO;41724
1100148;RO;20504
1100155;RO;35445
1100189;RO;37098
1100205;RO;548952
1100254;RO;18165
1100262;RO;3843
1100288;RO;55748
1100296;RO;5942
1100304;RO;104517
1100320;RO;23147
1100338;RO;32184
1100346;RO;13807
1100379;RO;13268
1100403;RO;22258
1100452;RO;41043
1100502;RO;8125
1100601;RO;6307
1100700;RO;14391
1100809;RO;28068
1100908;RO;2923
1100924;RO;11755
1100940;RO;27131
1101005;RO;7130
1101104;RO;10819
1101203;RO;9461
1101302;RO;10691
1101401;RO;16158
1101435;RO;6822
1101450;RO;6319
1101468;RO;2127
1101476;RO;2697
1101484;RO;4962
1101492;RO;21088
1101500;RO;11846
1101559;RO;4160
1101609;RO;10348
1101708;RO;11081
1101757;RO;11545
1101807;RO;6490
1200013;AC;15721
1200054;AC;7649
1200104;AC;27123
1200138;AC;10572
1200179;AC;12280
1200203;AC;89760
1200252;AC;18979
1200302;AC;34986
1200328;AC;8628
1200336;AC;19643
1200344;AC;9701
1200351;AC;19727
1200385;AC;20147
1200393;AC;12497
1200401;AC;419452
1200427;AC;19767
1200435;AC;6893
1200450;AC;23446
1200500;AC;47168
1200609;AC;43730
1200708;AC;19866
1200807;AC;19141
1300029;AM;16396
1300060;AM;11934
1300086;AM;14292
1300102;AM;21937
1300144;AM;22739
1300201;AM;20868
1300300;AM;41005
1300409;AM;27772
1300508;AM;32919
1300607;AM;44873
1300631;AM;20503
1300680;AM;20040
1300706;AM;34958
1300805;AM;42328
1300839;AM;13482
1300904;AM;15981
1301001;AM;28719
1301100;AM;38820
1301159;AM;31459
1301209;AM;86713
1301308;AM;29691
1301407;AM;36121
1301506;AM;20748
1301605;AM;16409
1301654;AM;17193
1301704;AM;57195
1301803;AM;31172
1301852;AM;49718
1301902;AM;104046
1301951;AM;7777
1302009;AM;9312
1302108;AM;1755
1302207;AM;15495
1302306;AM;13462
1302405;AM;47685
1302504;AM;99613
1302553;AM;33981
1302603;AM;2255903
1302702;AM;57405
1302801;AM;18298
1302900;AM;66159
1303007;AM;21710
1303106;AM;38665
1303205;AM;20395
1303304;AM;26443
1303403;AM;116439
1303502;AM;19616
1303536;AM;38095
1303569;AM;34856
1303601;AM;26566
1303700;AM;20889
1303809;AM;47031
1303908;AM;40837
1303957;AM;14678
1304005;AM;9289
1304062;AM;68502
1304104;AM;16876
1304203;AM;59250
1304237;AM;19038
1304260;AM;13839
1304302;AM;16007
1304401;AM;24098
1400027;RR;13561
1400050;RR;15249
1400100;RR;436591
1400159;RR;12701
1400175;RR;19257
1400209;RR;22635
1400233;RR;10595
1400282;RR;12637
1400308;RR;18482
1400407;RR;11772
1400456;RR;20108
1400472;RR;31387
1400506;RR;8492
1400605;RR;8232
1400704;RR;11014
1500107;PA;160439
1500131;PA;7536
1500206;PA;55744
1500305;PA;39910
1500347;PA;27797
1500404;PA;57390
1500503;PA;34044
1500602;PA;117320
1500701;PA;30091
1500800;PA;540410
1500859;PA;29312
1500909;PA;46937
1500958;PA;32200
1501006;PA;16421
1501105;PA;31967
1501204;PA;49454
1501253;PA;3239
1501303;PA;129333
1501402;PA;1506420
1501451;PA;17944
1501501;PA;64780
1501576;PA;17254
1501600;PA;16769
1501709;PA;130122
1501725;PA;14883
1501758;PA;7357
1501782;PA;68597
1501808;PA;104280
1501907;PA;29717
1501956;PA;35307
1502004;PA;24355
1502103;PA;140814
1502152;PA;39103
1502202;PA;69828
1502301;PA;54545
1502400;PA;205667
1502509;PA;24175
1502608;PA;12175
1502707;PA;48115
1502756;PA;34236
1502764;PA;14044
1502772;PA;17764
1502806;PA;35530
1502855;PA;14776
1502905;PA;41093
1502939;PA;61206
1502954;PA;34069
1503002;PA;6949
1503044;PA;20742
1503077;PA;26155
1503093;PA;41678
1503101;PA;34127
1503200;PA;39234
1503309;PA;63367
1503408;PA;12009
1503457;PA;67170
1503507;PA;32639
1503606;PA;101541
1503705;PA;53439
1503754;PA;6952
1503804;PA;60517
1503903;PA;59961
1504000;PA;29623
1504059;PA;30389
1504109;PA;8598
1504208;PA;287664
1504307;PA;29559
1504406;PA;28563
1504422;PA;135812
1504455;PA;32347
1504505;PA;28121
1504604;PA;31917
1504703;PA;84251
1504752;PA;16282
1504802;PA;58289
1504901;PA;41454
1504950;PA;21519
1504976;PA;17027
1505007;PA;15646
1505031;PA;25769
1505064;PA;78488
1505106;PA;52473
1505205;PA;33182
1505304;PA;74921
1505403;PA;18079
1505437;PA;33831
1505486;PA;49110
1505494;PA;7575
1505502;PA;115838
1505536;PA;218787
1505551;PA;5339
1505601;PA;8084
1505635;PA;12976
1505650;PA;32325
1505700;PA;32007
1505809;PA;63831
1505908;PA;42456
1506005;PA;29827
1506104;PA;10889
1506112;PA;13794
1506138;PA;86326
1506161;PA;18208
1506187;PA;53242
1506195;PA;52473
1506203;PA;41164
1506302;PA;24392
1506351;PA;21811
1506401;PA;10496
1506500;PA;72856
1506559;PA;19839
1506583;PA;22244
1506609;PA;25127
1506708;PA;75995
1506807;PA;308339
1506906;PA;6796
1507003;PA;32346
1507102;PA;18207
1507151;PA;25945
1507201;PA;32285
1507300;PA;135732
1507409;PA;15978
1507458;PA;24566
1507466;PA;6294
1507474;PA;23440
1507508;PA;14105
1507607;PA;60268
1507706;PA;27302
1507755;PA;6088
1507805;PA;11305
1507904;PA;25752
1507953;PA;111554
1507961;PA;11971
1507979;PA;19063
1508001;PA;64604
1508035;PA;31549
1508050;PA;19344
1508084;PA;40661
1508100;PA;116605
1508126;PA;62286
1508159;PA;45395
1508209;PA;54650
1508308;PA;62093
1508357;PA;15421
1508407;PA;45416
1600055;AP;5577
1600105;AP;9265
1600154;AP;17625
1600204;AP;11493
1600212;AP;6217
1600238;AP;8151
1600253;AP;5730
1600279;AP;52302
1600303;AP;522357
1600402;AP;22468
1600501;AP;28534
1600535;AP;22927
1600550;AP;5370
1600600;AP;124808
1600709;AP;18217
1600808;AP;16572
1700251;TO;2609
1700301;TO;7049
1700350;TO;5303
1700400;TO;6905
1700707;TO;8381
1701002;TO;9435
1701051;TO;3475
1701101;TO;4901
1701309;TO;5705
1701903;TO;7223
1702000;TO;8418
1702109;TO;186245
1702158;TO;5856
1702208;TO;36573
1702307;TO;6590
1702406;TO;10502
